17802	49205	
69592	86045	
10925	61141	
11988	84449	
42807	34043	
63237	14481	
80073	77492	
51424	54723	
82643	87856	
37411	57934	
73545	77157	
96337	20174	
47270	31527	
90696	33794	
77482	5856	
96483	31818	
47832	34931	
66963	98204	
39988	97657	
48174	33802	
77962	10216	
97619	95682	
91863	25333	
77204	43052	
8863	51856	
19158	80032	
27405	87823	
78749	88567	
17187	55560	
48651	84937	
8993	94463	
19482	20237	
46372	49538	
28308	29087	
1419	64789	
77223	56707	
13697	77803	
68747	32877	
55889	65906	
18126	24962	
7995	22869	
29403	1691	
46279	58852	
87858	87922	
58594	3269	
59702	51125	
1043	66938	
3143	6462	
9297	92396	
70696	30265	
40667	64797	
29102	65533	
28790	70812	
95154	50289	
3524	15824	
13789	92602	
89079	92469	
53122	40009	
11084	14593	
65865	55396	
38699	69122	
57031	35593	
33768	22325	
44022	32042	
24517	73447	
96107	96442	
1831	3047	
59207	67181	
26914	92988	
87207	57821	
80824	7281	
93070	28067	
43767	3021	
53081	96297	
90954	85768	
52781	73729	
59938	45494	
49062	81137	
80513	96235	
23298	77183	
13447	98666	
70205	36123	
40508	16634	
34417	1432	
27655	77959	
20737	76659	
36576	39035	
27363	10391	
1637	30439	
97398	23379	
45045	61173	
11150	28693	
82196	91165	
49230	96591	
97063	22259	
58738	19928	
72926	24618	
10686	1779	
55051	91719	
32841	29339	
63099	82906	
76882	31007	
45036	75431	
62167	67555	
19285	3779	
82835	43890	
81847	72269	
30279	55556	
67913	53577	
86483	93553	
10012	51572	
23720	35196	
31607	83833	
95418	84315	
33080	35448	
26662	3923	
76650	85240	
73036	75533	
31354	27132	
97795	78485	
29575	92307	
32985	63446	
60223	71229	
44349	11906	
33121	33139	
33673	40050	
98181	13574	
99049	3160	
13587	13188	
86881	90737	
47570	7825	
47548	51871	
51800	89071	
93957	78694	
34407	90104	
10606	4794	
80187	10812	
54348	95780	
30356	18129	
74644	39510	
41608	59008	
68094	77003	
8133	82186	
95826	44032	
23252	81985	
18371	20158	
92391	70891	
79815	61249	
12039	92363	
38263	12958	
31816	95104	
72160	98060	
83606	97512	
46940	69292	
51636	77006	
85671	37178	
91479	64537	
18743	80473	
27829	93432	
69258	28226	
92725	83948	
23559	65295	
56689	53653	
60440	95563	
39907	82481	
75847	16279	
46915	71281	
4614	16320	
36142	94819	
31010	92973	
32771	95409	
65377	37998	
51624	30059	
94428	15557	
32122	29578	
96802	12927	
95190	62848	
89824	41079	
18486	2306	
102	51051	
9037	16151	
23414	2731	
69307	93320	
45031	26438	
61939	89229	
90434	22344	
55707	13331	
12514	21332	
21705	64410	
74251	2120	
76831	12285	
95756	35448	
82969	54668	
65836	38841	
14884	12208	
55658	21713	
35415	9207	
66090	39324	
68133	3552	
21543	57961	
19171	1550	
11845	37350	
8199	26811	
54855	47753	
4144	6295	
54631	975	
74295	67361	
32356	32949	
53617	10760	
20027	26191	
7160	45118	
68191	49903	
99699	29345	
55251	5926	
94650	46535	
38387	76765	
75942	12478	
36549	54209	
6960	94334	
5599	81310	
44235	1659	
14132	40764	
72796	35772	
32469	32481	
78596	56202	
39690	6394	
46866	28228	
87701	42307	
54914	51226	
38881	63694	
84241	54814	
35048	57718	
28001	85975	
56698	62694	
67312	89574	
57481	34733	
6605	63670	
3669	55053	
3979	66521	
63420	25050	
97825	39350	
49856	47207	
5669	19858	
76861	42695	
32383	67157	
23614	11708	
65319	42050	
23094	43117	
75426	51697	
55330	78800	
49837	57898	
94704	30835	
88752	45881	
85676	75483	
23341	79447	
62070	91392	
32203	58937	
41821	58934	
6242	75525	
59504	75141	
88300	54998	
65189	28422	
74426	81333	
72890	39225	
89719	42966	
73227	17687	
98246	5670	
62858	81688	
95151	37158	
12105	19764	
91651	75961	
16518	30367	
37750	40031	
52502	81054	
16864	51826	
7642	86338	
79620	54199	
70342	43624	
91719	80546	
95477	12071	
84460	30927	
30290	10877	
54137	59379	
25685	7723	
44476	12034	
62306	45984	
38634	35069	
4794	57714	
46520	77301	
53394	60374	
47056	97262	
252	34684	
87475	27898	
64977	52875	
69153	76924	
74391	55316	
38611	53333	
874	1380	
94112	33841	
21578	32341	
3623	21458	
8793	20336	
23096	94522	
93926	93877	
28914	55986	
21468	37746	
13740	99426	
82757	36132	
94120	75490	
66991	81108	
72307	99829	
19693	99688	
16525	5584	
23323	10056	
99154	27924	
71868	58695	
92576	6892	
91607	32576	
50860	69799	
2747	93373	
7706	79251	
57540	78884	
25973	90308	
53625	75390	
89855	60070	
69948	22603	
90544	71281	
75944	23327	
67706	26394	
63435	5496	
4471	71663	
92876	50842	
12064	86883	
65161	72352	
82389	15920	
87380	5594	
10934	71368	
24352	37442	
53692	89388	
96383	21343	
51077	38939	
38221	72503	
74352	66380	
21269	80013	
51568	27082	
63546	34903	
92510	857	
11131	73394	
46230	95811	
91513	90434	
53710	88034	
83494	39906	
56252	7750	
49754	9672	
77207	28523	
38628	89261	
17201	80125	
48076	58373	
76172	67273	
2928	23106	
24481	57833	
25246	71976	
4059	59415	
89147	30352	
25782	57927	
10176	22714	
76190	12659	
47014	80776	
14716	92016	
63081	73879	
89673	62108	
56504	7145	
45485	58225	
5091	97287	
52157	63519	
88228	5122	
40971	98988	
22304	22526	
75201	86777	
65012	15045	
48614	98217	
94901	7472	
11717	42466	
58466	2089	
10108	78420	
58769	2815	
4560	11536	
85894	94982	
95767	36311	
31874	95284	
9320	22302	
89699	39051	
52265	60435	
9354	60632	
71929	70328	
40537	88077	
65040	46177	
66685	55158	
44372	74200	
36351	18065	
73316	99083	
31082	98170	
5377	42435	
81765	10883	
93150	3411	
87481	72332	
51474	42236	
61176	45490	
25839	53518	
60851	88509	
88447	40601	
72416	37505	
23110	47660	
18124	31904	
3118	84087	
65708	99315	
1139	31437	
91409	31858	
66508	28721	
26190	71083	
82772	21762	
39559	34804	
21855	21193	
74824	51363	
44737	33792	
81425	71131	
56780	2559	
60433	38270	
58367	45853	
7554	14207	
56712	21326	
97781	25523	
25703	70449	
32334	4343	
43363	96873	
84459	99614	
62466	24530	
92613	68320	
17586	68675	
13599	3245	
45397	72131	
33002	60654	
37476	91120	
32076	4023	
30043	28008	
2219	23340	
39327	37626	
64865	84751	
8414	22471	
81149	14882	
33751	62155	
54421	22960	
89976	62394	
37761	59500	
52138	79639	
86663	89966	
73139	83194	
71199	9007	
28475	81322	
6588	51698	
73442	49714	
40018	41163	
44361	56219	
4171	56689	
55381	46207	
48657	19899	
74628	39938	
57271	41929	
78856	37778	
27651	80430	
51746	91934	
56094	11877	
45069	92472	
5130	67084	
23947	99054	
79718	92460	
89230	40216	
15885	29414	
53027	34601	
76519	13745	
46626	39014	
12058	32206	
95251	72701	
59355	66987	
44628	59123	
35005	2019	
75609	47533	
97406	56207	
61726	6284	
90953	85557	
46724	62694	
63587	82823	
82706	80203	
31398	48995	
6722	22599	
27810	29836	
97495	33098	
86440	3178	
40900	60920	
59678	22503	
84219	3269	
98413	32874	
42909	55963	
2425	79959	
26130	98491	
93318	92077	
13107	25279	
95965	73336	
26518	8056	
24372	35279	
96753	5735	
18429	46012	
78486	74299	
50466	22082	
70536	85989	
84222	56814	
85308	82532	
3198	71695	
41787	48036	
49795	75165	
80511	89890	
60309	43134	
33484	23906	
87033	98784	
90855	98600	
86009	83666	
46323	86278	
95338	23374	
11873	86980	
71656	27179	
3352	60696	
45872	5765	
13647	38476	
36028	90310	
14037	50407	
1536	41750	
12573	15542	
17721	13202	
654	24512	
73402	8307	
68714	99100	
2641	75795	
72178	2129	
96902	73288	
99752	55521	
47908	28869	
5568	90357	
97709	92845	
74894	55765	
5572	59105	
1469	26702	
38936	359	
55176	89907	
83461	53442	
89690	55310	
58304	94748	
34922	66634	
60763	44849	
96577	83439	
22174	30662	
55779	81667	
37814	54857	
26069	42890	
41030	57168	
89403	26413	
74804	74210	
81557	63185	
55596	55150	
10883	30974	
5365	26742	
45467	54194	
3570	11270	
200	23672	
63031	68047	
18562	94443	
59880	43642	
17156	11008	
38373	39430	
37130	34679	
75456	52027	
6542	42460	
28304	50811	
95745	20999	
86978	96534	
69960	16269	
77367	49575	
88558	86200	
1095	82178	
1640	48904	
38681	6550	
66817	65603	
57445	24946	
98084	93042	
24357	21288	
45674	38857	
41553	23858	
56326	59558	
82248	52189	
42820	14352	
37790	11575	
35687	58745	
72175	72935	
26289	74926	
40631	34921	
78825	67724	
2830	87966	
826	34740	
84976	95895	
67928	28909	
62210	43154	
43342	14470	
74464	80346	
20091	54993	
29390	22081	
37880	21316	
39059	19001	
98512	48455	
83435	7301	
26777	93788	
57077	68608	
6575	38890	
54668	73418	
66721	83512	
97374	20926	
81875	18821	
85531	92015	
51444	10680	
19013	96651	
10319	98970	
88907	5323	
63326	49395	
75986	56008	
72911	66754	
60154	44406	
60321	28903	
53864	96308	
20206	74796	
70301	18772	
38189	43738	
33104	95686	
30526	18407	
19736	33104	
886	2919	
14423	23319	
31870	19637	
64593	34653	
44854	71397	
4974	90775	
70237	6824	
62479	64283	
3452	53032	
32943	61712	
94703	10371	
38897	21902	
74775	28169	
53847	70688	
90928	72855	
80495	452	
44625	70066	
68411	87943	
26719	28916	
93356	38633	
14691	34436	
27952	58543	
37895	57341	
43426	9878	
56902	75255	
30536	48406	
78857	92106	
72317	18972	
10766	34663	
21739	94864	
76697	55838	
37812	91349	
35267	36820	
28872	15821	
71558	3974	
70537	47744	
